IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;Lat;Lon
1614715;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERG;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614716;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Olimpica Sto;;4,865972;-74,039552
1614717;Barranquilla;ATLANTICO;Olimpica;Mt;Ka;SMI P;Atlantico;Olimpica Sto;;10,98149967;-74,82769775
1614718;Barranquilla;ATLANTICO;Olimpica;Mt;Ka;SMI P;Atlantico;Olimpica Sto;;10,98149967;-74,82769775
1614719;Santiago De Cali;VALLE DEL CAUCA;Olimpica;Mt;Ka;SUPERG;Pacifico;Olimpica Sto;;3,399039984;-76,57649994
1614720;Caicedonia;VALLE DEL CAUCA;Olimpica;Mt;Ka;SUPERP;Pacifico;Olimpica Sto;;4,309000015;-75,83670044
1614721;Santa Marta;MAGDALENA;Olimpica;Mt;Ka;SMI P;Atlantico;Olimpica Sto;;11,1218996;-73,88529968
1614722;Sincelejo;SUCRE;Olimpica;Mt;Ka;SUPERP;Atlantico;Olimpica Sto;;9,316670418;-75,43170166
1614723;Monteria;CORDOBA;Olimpica;Mt;Ka;SMI P;Atlantico;Olimpica Sto;;8,584699631;-75,95059967
1614724;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP BASIC;Pacifico;Superinter;;3,399039984;-76,57649994
1614725;Palmira;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,558389902;-76,22779846
1614726;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial exito;Mt;Ka;SUPERP;Pacifico;Superinter;;3,399039984;-76,57649994
